 0.144129	0.144129
 0.368585	0.144129
 0.813385	0.368585
 0.568330	0.813385
 0.923616	0.568330
 0.217891	0.923616
 0.098989	0.217891
 0.700072	0.098989
 0.106013	0.700072
 0.760155	0.106013
 0.933289	0.760155
 0.796594	0.933289
 0.353493	0.796594
 0.156672	0.353493
 0.191885	0.156672
 0.005297	0.191885
 0.026883	0.005297
 0.829962	0.026883
 0.174483	0.829962
 0.537212	0.174483
 0.919071	0.537212
 0.827401	0.919071
 0.129460	0.827401
 0.833962	0.129460
 0.402604	0.833962
 0.560472	0.402604
 0.856460	0.560472
 0.528117	0.856460
 0.060469	0.528117
 0.296561	0.060469
 0.303655	0.296561
 0.535135	0.303655
 0.017776	0.535135
 0.769604	0.017776
 0.731003	0.769604
 0.961806	0.731003
 0.078493	0.961806
 0.235961	0.078493
 0.789727	0.235961
 0.945343	0.789727
 0.382757	0.945343
 0.996451	0.382757
 0.347695	0.996451
 0.714133	0.347695
 0.436021	0.714133
 0.205884	0.436021
 0.296065	0.205884
 0.964338	0.296065
 0.628819	0.964338
 0.567159	0.628819
 0.249384	0.567159
 0.396083	0.249384
 0.971447	0.396083
 0.111087	0.971447
 0.046684	0.111087
 0.618156	0.046684
 0.342310	0.618156
 0.195606	0.342310
 0.555941	0.195606
 0.701833	0.555941
 0.712910	0.701833
 0.871954	0.712910
 0.932178	0.871954
 0.110206	0.932178
 0.231304	0.110206
 0.532898	0.231304
 0.422552	0.532898
 0.826674	0.422552
 0.913382	0.826674
 0.210441	0.913382
 0.878059	0.210441
 0.532005	0.878059
 0.401558	0.532005
 0.980647	0.401558
 0.730599	0.980647
 0.185243	0.730599
 0.374638	0.185243
 0.544869	0.374638
 0.610550	0.544869
 0.506856	0.610550
 0.724805	0.506856
 0.803921	0.724805
 0.507353	0.803921
 0.090286	0.507353
 0.441063	0.090286
 0.946563	0.441063
 0.877897	0.946563
 0.816857	0.877897
 0.917482	0.816857
 0.115455	0.917482
 0.450882	0.115455
 0.976938	0.450882
 0.396840	0.976938
 0.685478	0.396840
 0.826379	0.685478
 0.959854	0.826379
